anon_id,claimed_tv_genre,claimed_book_escape_genre,claimed_book_default_genre,claimed_music_genre,top_behavioral_genre,behavioral_genres,media_type_signals,total_genre_signal_count
00ca7193-be90-412f-9f6c-21be44b255a2,,,,,drama,drama (0.39); crime (0.32); comedy (0.26); thriller (0.13); romance (0.06); marriage & divorce (0.06); mystery (0.06); reality (0.06); science fiction (0.06); history (0.06); city life (0.06); family life (0.06),tv (1.00); movie (0.55); book (0.32); podcast (0.10),12
062d0022-6e3b-4858-a5d3-df0ac93baf64,,,,,,,,0
08067432-b5b7-47dc-a406-6d890cd41d95,,,,,business,business (1.00),music (1.00); podcast (1.00); youtube (1.00); movie (0.90),1
08c793da-83be-4a02-962b-f97039b58e9f,,,,,,,movie (0.90),0
09c3b4a2-02e9-45d3-8c64-49aad0a84a26,,,,,,,,0
0a864ef6-b04a-4b78-9cd2-fa885a60a9dd,,,,,comedy,comedy (1.00); drama (1.00),tv (1.00),2
0beb2f2a-3e7c-4ab5-aa73-0be92d5aef55,,,,,,,,0
0ccb989c-161e-443d-9fd8-67a384603d2a,,,,,comedy,comedy (0.40); history (0.20); crime (0.20); romance (0.20); self-improvement (0.20); education (0.20),book (1.00); tv (0.80); youtube (0.40); podcast (0.20); movie (0.20),6
0dabc886-d249-4398-a909-1698a42f0551,,,,,,,,0
0ef568e6-d405-4fea-acb9-f2c54d1cba41,,,,,,,,0
0fac3c67-db9f-4b10-8841-175024257821,,,,,drama,drama (0.42); crime (0.42); action & adventure (0.11); mystery (0.11); sci-fi & fantasy (0.11),tv (1.00),5
0fc0ab3e-ff78-4f6d-9ee9-4b94a7ee6977,,,,,,,,0
10ad8ab3-daa5-4e1a-9638-8b1e4d1378b9,,,,,,,,0
1307a674-a580-451b-baf9-4d8b887f908f,,,,,,,,0
135c2365-09ef-40aa-9b5b-8a7fe156bca3,,,,,thriller,thriller (0.69); action (0.69); comedy (0.69); crime (0.69); sci-fi & fantasy (0.34); mystery (0.34); drama (0.34),movie (1.00); tv (0.69); music (0.34),7
15eeebba-c31a-41f7-82fd-5be8bb9447ff,,,,,,,,0
172d92bc-882f-47c1-8cfb-54f1342ec553,,,,,,,,0
17aaaa42-4e11-49dd-bc64-4dd22b79aa61,,,,,action,action (0.14); adventure (0.14); science fiction (0.07); reality (0.07); fantasy (0.07),movie (1.00); tv (0.32); music (0.10); book (0.07),5
