anon_user_id,pool_id,question,options_list,response,answer_result,pool_type,category,show_tag,dna_archetype,favorite_genres,flavor_notes,tv_shows_watched,movies_watched,books_read,trivia_points,longest_streak
41da28b96468497b81d442fa5c7e4170,poll-day-59,Which movie would you rewatch right now?,The Dark Knight | Mean Girls | Jurassic Park | The Social Network,The Dark Knight,Voted,vote,Movies,,Connect & Contrast Maven,"Comedy | Crime | Drama | Reality | Rom-com/chick-lit | Documentaries | Lifestyle (Home Reno, Food, Travel)",Balance seeker | Emotional dive | Social storyteller,0,0,0,0,1
41da28b96468497b81d442fa5c7e4170,vote-tv-best-mystery-binge,Best mystery binge?,Only Murders in the Building | Big Little Lies | True Detective | The Night Agent,Only Murders in the Building,Voted,vote,TV,,Connect & Contrast Maven,"Comedy | Crime | Drama | Reality | Rom-com/chick-lit | Documentaries | Lifestyle (Home Reno, Food, Travel)",Balance seeker | Emotional dive | Social storyteller,0,0,0,0,1
6f6f80d3c63766625693a057ed1808e9,poll-day-59,Which movie would you rewatch right now?,The Dark Knight | Mean Girls | Jurassic Park | The Social Network,Jurassic Park,Voted,vote,Movies,,Adventure Vibe Seeker,Action | Comedy | Drama | Science Fiction | Documentaries | Historical,Visually Driven | Escapist Adventures | Action-Packed Fun,0,0,0,0,1
a178433730af797af0b52e99e05bea43,poll-day-59,Which movie would you rewatch right now?,The Dark Knight | Mean Girls | Jurassic Park | The Social Network,The Dark Knight,Voted,vote,Movies,,,,,0,0,0,0,0
8a14a9030e416c5f5aab35349a57a68a,poll-day-59,Which movie would you rewatch right now?,The Dark Knight | Mean Girls | Jurassic Park | The Social Network,Jurassic Park,Voted,vote,Movies,,Emotion-Based Escape Artist,"Comedy | Fantasy | Action | Animation | Drama | Lifestyle (Home Reno, Food, Travel) | Romance | Reality | Rom-com/chick-lit",Mood-driven choices | Emotional journeys | Dynamic escapes,0,0,0,0,0
41be3dbdee3445d5763485f7cedee99c,72f2b7f8-a8ac-4817-9800-08e3203860ca,Will the next Hunger Games book be a prequel?,Yes | No,No,Voted,predict,book,,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,c46455db-8b2e-4925-abc9-4da55a32a699,Is 'The Last of Us' destined to become the biggest video game adaptation?,Absolutely | Not likely,Not likely,Voted,predict,TV,The Last of Us,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,f8534b88-85e3-4f2d-9f09-b211f078ef10,This is the book series of the year:,Bridgerton | Throne of Glass | The Expanse | The Witcher,Bridgerton,Voted,predict,Books,,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,0750bf8a-fc71-4265-a489-b33c7e19407e,What year did 'The Sopranos' premiere?,1997 | 1999 | 2000 | 2001,1997,Incorrect,trivia,TV,The Sopranos,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,16ce981b-204e-4aa8-8b16-46108ea5a1d6,Which sequel came THIRD in the Jurassic Park series?,Jurassic Park III | Jurassic World: Fallen Kingdom | Jurassic World | The Lost World: Jurassic Park,The Lost World: Jurassic Park,Incorrect,trivia,Movies,Jurassic Park,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,4e9526f9-b5e5-410e-bb71-b7d30b290076,"Which of these released first: 'The Matrix', 'Fight Club', 'The Sixth Sense', or 'American Beauty'?",The Sixth Sense | Fight Club | American Beauty | The Matrix,American Beauty,Incorrect,trivia,Movies,The Matrix,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,5c50c8ef-c5d6-464f-99eb-3f97c2193925,Who directed the movie Parasite?,Kim Ki-duk | Lee Chang-dong | Bong Joon-ho | Park Chan-wook,Lee Chang-dong,Incorrect,trivia,Movies,Parasite,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,a4b1ad79-3f28-4fe5-bace-6bafcd87f78e,Who directed 'Inception'?,Christopher Nolan | Steven Spielberg | Quentin Tarantino | James Cameron,Christopher Nolan,Correct,trivia,Movies,Inception,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,cba16bb1-1afa-467d-86ea-4691819bb9bb,What year did 'The Lion King' (animated) release?,1995 | 1992 | 1993 | 1994,1994,Correct,trivia,Movies,The Lion King,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,e206d245-7943-4e3c-af5f-71275aa4b8cc,Finish the lyric from Queen's 'Bohemian Rhapsody': 'Is this the real life? Is this just...',fantasy | illusion | a dream | pretend,fantasy,Correct,trivia,Music,Queen,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,e280f694-1606-426d-a8e5-c6c5d04c0936,Who won the Oscar for Best Picture in 2008?,Slumdog Millionaire | The Curious Case of Benjamin Button | Milk | Frost/Nixon,Slumdog Millionaire,Correct,trivia,Movies,Slumdog Millionaire,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,f6263313-3267-418f-9dd5-5a7662b5f700,Which actor was originally cast as Marty McFly in 'Back to the Future' before Michael J. Fox?,Matthew Broderick | Tom Hanks | Johnny Depp | Eric Stoltz,Eric Stoltz,Correct,trivia,Movies,Back to the Future,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,f8b864b9-7865-4d0c-8599-1d175f6ecf47,What year was 'The Matrix' released?,1997 | 1998 | 1999 | 2000,1999,Correct,trivia,Movies,The Matrix,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,vote-movies-which-reboot-actually-worked,Which reboot actually worked?,Creed | A Star Is Born | Jumanji | Ocean’s 8,Jumanji,Voted,vote,Movies,,,,,0,0,0,0,1
41be3dbdee3445d5763485f7cedee99c,vote-tv-which-show-deserved-more-hype,Which show deserved more hype?,Friday Night Lights | The Good Place | Fleabag | Ted Lasso,Friday Night Lights,Voted,vote,TV,,,,,0,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,17dfdfd8-47c7-4c36-98d4-4fe222596a86,Is the new Dune sequel destined for box office glory?,"Yes, for sure | No, it'll flop","Yes, for sure",Voted,predict,Movies,Dune,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,7b0db568-df43-48de-8725-97b58e0b801c,Best fictional school to attend:,Hogwarts | Xavier's School for Gifted Youngsters | Starfleet Academy | Camp Half-Blood,Hogwarts,Voted,predict,Pop Culture,,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,11f28d52-174e-44eb-a1be-907f8b566ffc,What year did 'Dune' first release?,1965 | 1970 | 1960 | 1955,1970,Incorrect,trivia,Books,Dune,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,1bbec36e-eae9-439d-86bd-008b019299de,Who wrote the novel '1984'?,Aldous Huxley | Ray Bradbury | George Orwell | J.D. Salinger,George Orwell,Correct,trivia,Books,1984,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,1c9a961e-d711-4346-becd-f0eb5cb6135a,Who created 'The Wheel of Time' series?,J.R.R. Tolkien | Robert Jordan | Isaac Asimov | George R.R. Martin,Robert Jordan,Correct,trivia,Books,The Wheel of Time,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,22d8e041-9a36-45e9-9e57-19a15d2cd99c,Who played Rachel Green on 'Friends'?,Courteney Cox | Lisa Kudrow | Jennifer Aniston | Maggie Wheeler,Jennifer Aniston,Correct,trivia,TV,Friends,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,2a2cfb7c-a253-480d-97f5-cd4e6e59c44a,"In 'Breaking Bad', what does Walter White's alias 'Heisenberg' refer to?",A physicist's principle | A city in Germany | A type of blue crystal | An old movie,A city in Germany,Incorrect,trivia,TV,Breaking Bad,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,34c758b8-3479-4df8-b70b-6b59c8e68488,In what show does the character Sheldon Cooper appear?,The Big Bang Theory | Friends | How I Met Your Mother | Parks and Recreation,The Big Bang Theory,Correct,trivia,TV,The Big Bang Theory,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,3782f057-6c6a-45aa-b81d-2e088906ce24,Who is the author of the 'Miss Marple' series?,Agatha Christie | Arthur Conan Doyle | Edgar Allan Poe | Dashiell Hammett,Agatha Christie,Correct,trivia,Books,Miss Marple,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,4263bc1d-b615-4569-94ff-bf7fe86035af,Who played Atticus Finch in the 1962 film adaptation of 'To Kill a Mockingbird'?,Gregory Peck | Cary Grant | James Stewart | Henry Fonda,Gregory Peck,Correct,trivia,Books,To Kill a Mockingbird,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,44e5f43b-9c91-4bd2-84aa-1073e0ff3a46,What year did Adele win her first Grammy?,2008 | 2006 | 2012 | 2010,2008,Correct,trivia,Music,Adele,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,5cf9c409-7c80-4683-b556-f1ccc5c8238c,Who played the Joker in 'The Dark Knight'?,Jared Leto | Joaquin Phoenix | Jack Nicholson | Heath Ledger,Heath Ledger,Correct,trivia,Movies,The Dark Knight,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,5efc6cbb-b4f3-4c53-b0c5-9a51048e2d09,Who wrote 'The Shining'?,Stephen King | Dean Koontz | Anne Rice | Ray Bradbury,Stephen King,Correct,trivia,Books,The Shining,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,62297fe4-fc0c-4ad1-80fe-32bbb325bac4,Who wrote 'The Handmaid's Tale'?,Margaret Atwood | Alice Munro | Sylvia Plath | Salman Rushdie,Margaret Atwood,Correct,trivia,Books,The Handmaid's Tale,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,64c6ca58-2019-4437-adba-338778c2ac32,Who created the TV series 'The X-Files'?,David Lynch | J.J. Abrams | Vince Gilligan | Chris Carter,Chris Carter,Correct,trivia,TV,The X-Files,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,7d9cba72-c4b7-4f22-9224-8e8371bcc15b,Who directed the movie adaptation of 'The Hobbit'?,Peter Jackson | Guillermo del Toro | Steven Spielberg | J.J. Abrams,Peter Jackson,Correct,trivia,Books,The Hobbit,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,8425ade5-8a87-42d8-8332-3d8e29ebe7a3,Who wrote 'The Godfather' novel?,Mario Puzo | John Grisham | Stephen King | F. Scott Fitzgerald,Mario Puzo,Correct,trivia,Books,The Godfather,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,8f7ce21d-0b05-4649-9565-7e36f2327176,What is the real name of the character known as 'The Boy Who Lived'?,Harry Potter | Tom Riddle | Neville Longbottom | Albus Dumbledore,Harry Potter,Correct,trivia,Books,Harry Potter,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,a4b1ad79-3f28-4fe5-bace-6bafcd87f78e,Who directed 'Inception'?,Christopher Nolan | Steven Spielberg | Quentin Tarantino | James Cameron,Christopher Nolan,Correct,trivia,Movies,Inception,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
c526c53e40233c0b6994274c7b89ac79,b50dd223-64fd-4617-843a-667c35886e4a,On Patrol: Live is a revival of which cancelled show?,The First 48 | Live PD | Cops | The Rookie,Cops,Incorrect,trivia,TV,On Patrol: Live,Time-Traveling Escapist,Fantasy | Historical | Action | Comedy | Drama | Rom-com/chick-lit | Science Fiction | Documentaries,Classic comedy lover | Historical escapism | Chill sports fan,3,0,0,0,1
