pool_id,question,pool_type,category,show_tag,options_list,response,points_earned,is_winner,responded_at,username,dna_archetype,favorite_genres,tv_shows_watched,movies_watched,books_read,trivia_points,reviews_written,current_streak,longest_streak,last_login
72f2b7f8-a8ac-4817-9800-08e3203860ca,Will the next Hunger Games book be a prequel?,predict,book,,"[""Yes"", ""No""]",Yes,0,,2026-05-05 22:04:39.007+00,,,,1,1,2,0,0,1,1,2026-05-06
72f2b7f8-a8ac-4817-9800-08e3203860ca,Will the next Hunger Games book be a prequel?,predict,book,,"[""Yes"", ""No""]",Yes,0,,2026-05-05 22:29:06.804+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
72f2b7f8-a8ac-4817-9800-08e3203860ca,Will the next Hunger Games book be a prequel?,predict,book,,"[""Yes"", ""No""]",No,0,,2026-05-08 18:29:21.218+00,,,,0,0,0,0,0,1,2,2026-05-08
0446b3ed-c9dc-4ca6-ad73-bbc92b4f6285,This book will be the next big streaming hit:,predict,Books,,"[""Daisy Jones & The Six"", ""Where the Crawdads Sing"", ""The Night Circus"", ""The Seven Husbands of Evelyn Hugo""]",Where the Crawdads Sing,20,,2026-05-11 11:42:47.262+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
0446b3ed-c9dc-4ca6-ad73-bbc92b4f6285,This book will be the next big streaming hit:,predict,Books,,"[""Daisy Jones & The Six"", ""Where the Crawdads Sing"", ""The Night Circus"", ""The Seven Husbands of Evelyn Hugo""]",Daisy Jones & The Six,20,,2026-05-11 15:51:41.729+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
f8534b88-85e3-4f2d-9f09-b211f078ef10,This is the book series of the year:,predict,Books,,"[""Bridgerton"", ""Throne of Glass"", ""The Expanse"", ""The Witcher""]",Bridgerton,20,,2026-05-08 18:29:09.686+00,,,,0,0,0,0,0,1,2,2026-05-08
f8534b88-85e3-4f2d-9f09-b211f078ef10,This is the book series of the year:,predict,Books,,"[""Bridgerton"", ""Throne of Glass"", ""The Expanse"", ""The Witcher""]",Bridgerton,20,,2026-05-08 21:53:34.952+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
8e3660ea-4ff9-4673-a6d4-e21e527fa77f,Which dystopian novel feels most relevant today?,predict,Books,,"[""1984"", ""The Handmaid's Tale"", ""Fahrenheit 451"", ""Brave New World""]",1984,20,,2026-04-15 17:21:48.529+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
84541b21-6a17-4e7a-b263-0401cf00924f,Do Xavier and Teri reunite?,predict,movie,,"[""Yes"", ""No""]",Yes,0,,2026-03-24 05:57:01.349+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
84541b21-6a17-4e7a-b263-0401cf00924f,Do Xavier and Teri reunite?,predict,movie,,"[""Yes"", ""No""]",Yes,0,,2026-04-03 02:27:00.311+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
